losses_train,losses_val,acces_train,acces_val
1.0,1.0,0.0,0.0
0.4822873648242617,0.5209210409935927,0.7849189660904256,0.805962691538974
0.265392533794182,0.532082367227926,0.8859118541033435,0.8050466355762825
0.1959245592678647,0.3054991122337438,0.9201975683890578,0.8771652231845436
0.1400613285053518,0.3138744834904851,0.9464741641337386,0.8664223850766156
0.1086170009022544,0.3559012835179927,0.9585663825037994,0.8703364423717521
0.0880594964021923,0.4201704182254848,0.9686018237082068,0.8643404397068621
0.0730411285956215,0.4150991560609965,0.9746960486322188,0.8578447701532311
0.0551557673906469,0.4445205995583833,0.9809118541033436,0.8552631578947368
0.04578879859502281,0.5254150040793696,0.9843768996960486,0.858927381745503
0.045420053689146055,0.511945789731143,0.9847213977013678,0.8719187208527648
0.0439734096552244,0.5607716462544867,0.9853495440729483,0.8581778814123917
